id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
119496,Male,Loyal Customer,29,Business travel,Business,814,3,3,3,3,4,4,4,4,4,2,5,4,4,4,9,6.0
60419,Male,Loyal Customer,54,Business travel,Business,2913,4,4,4,4,4,4,4,4,4,4,4,4,4,4,26,9.0
9671,Male,Loyal Customer,52,Business travel,Eco,277,4,5,5,5,4,4,4,4,4,4,4,3,4,4,68,42.0
59115,Female,Loyal Customer,17,Personal Travel,Eco,1744,3,0,3,1,4,3,1,4,4,2,5,4,5,4,7,39.0
75857,Female,Loyal Customer,30,Personal Travel,Eco,1440,3,4,3,2,3,3,3,3,5,5,4,5,4,3,0,0.0
73556,Male,Loyal Customer,45,Business travel,Business,1684,0,5,0,4,3,5,5,5,5,5,5,4,5,5,0,8.0
48923,Female,Loyal Customer,33,Business travel,Eco,153,5,5,5,5,5,4,5,5,2,2,4,5,5,5,3,0.0
152,Female,Loyal Customer,51,Business travel,Business,3424,3,4,4,4,5,3,3,3,3,3,3,4,3,4,44,42.0
13842,Male,Loyal Customer,55,Personal Travel,Eco,628,3,5,3,2,3,3,3,3,5,2,2,1,1,3,0,0.0
28289,Male,Loyal Customer,51,Business travel,Business,954,1,5,1,1,4,5,5,5,5,5,5,3,5,5,0,0.0
70934,Female,disloyal Customer,33,Business travel,Business,612,2,2,2,3,2,2,5,2,5,4,5,3,4,2,10,9.0
64836,Female,Loyal Customer,67,Business travel,Business,469,3,4,2,2,3,4,4,3,3,3,3,3,3,1,0,0.0
114373,Male,Loyal Customer,49,Business travel,Business,2017,3,3,3,3,5,4,4,5,5,5,5,4,5,3,0,0.0
23732,Female,Loyal Customer,52,Business travel,Business,771,1,1,4,1,4,1,4,5,5,4,5,5,5,1,0,0.0
114501,Female,disloyal Customer,38,Business travel,Business,308,3,3,3,3,4,3,4,4,1,1,4,2,3,4,39,26.0
126561,Male,Loyal Customer,37,Business travel,Business,1558,4,1,1,1,1,3,4,4,4,3,4,1,4,3,0,8.0
7183,Female,Loyal Customer,42,Business travel,Business,2657,1,1,1,1,4,4,5,5,5,5,4,3,5,3,0,0.0
47600,Male,Loyal Customer,50,Business travel,Business,1504,2,2,4,2,3,1,4,5,5,5,5,2,5,4,0,0.0
61131,Female,disloyal Customer,21,Business travel,Eco,567,2,3,2,4,3,2,1,3,4,5,3,4,4,3,0,0.0
105908,Female,Loyal Customer,37,Business travel,Business,283,2,2,2,2,5,4,4,4,4,4,4,5,4,3,0,0.0
84684,Male,Loyal Customer,37,Personal Travel,Eco,2182,0,5,0,3,5,0,5,5,4,2,1,1,1,5,9,17.0
36548,Male,Loyal Customer,50,Business travel,Eco,1185,4,5,5,5,3,4,3,3,4,4,5,3,5,3,8,0.0
121106,Male,Loyal Customer,58,Business travel,Business,2521,3,3,3,3,5,5,5,5,2,4,5,5,3,5,4,14.0
100650,Female,Loyal Customer,9,Personal Travel,Eco Plus,349,2,3,2,4,2,2,2,2,1,1,3,2,4,2,11,5.0
127984,Male,disloyal Customer,21,Business travel,Eco,749,1,1,1,2,4,1,4,4,3,3,1,2,4,4,0,0.0
57418,Female,Loyal Customer,15,Personal Travel,Eco,524,4,4,4,2,3,4,3,3,4,5,4,3,4,3,0,0.0
109989,Male,disloyal Customer,23,Business travel,Business,1165,4,0,4,2,1,4,1,1,3,2,5,4,5,1,79,63.0
59486,Male,disloyal Customer,31,Business travel,Eco,921,3,2,2,4,3,2,3,3,1,5,3,2,4,3,125,113.0
1812,Female,Loyal Customer,57,Business travel,Business,408,5,5,5,5,2,4,5,4,4,4,4,3,4,3,0,0.0
95613,Female,Loyal Customer,46,Business travel,Business,1773,1,4,4,4,2,3,4,1,1,1,1,3,1,4,0,0.0
75956,Male,Loyal Customer,22,Business travel,Business,1887,2,3,4,3,2,3,2,2,1,5,4,2,4,2,0,0.0
42392,Female,Loyal Customer,54,Business travel,Eco Plus,451,5,1,1,1,5,3,2,5,5,5,5,5,5,4,0,0.0
103156,Male,disloyal Customer,27,Business travel,Business,272,2,2,2,1,1,0,1,1,5,4,4,4,5,1,0,0.0
36038,Male,disloyal Customer,46,Business travel,Eco,413,2,0,2,4,4,2,4,4,4,4,5,3,1,4,114,119.0
47230,Male,Loyal Customer,29,Business travel,Eco Plus,954,2,5,4,5,2,2,2,2,1,5,4,4,4,2,0,0.0
77028,Male,Loyal Customer,16,Business travel,Eco,422,4,4,4,4,4,5,4,4,2,1,5,5,2,4,0,0.0
5102,Female,Loyal Customer,37,Personal Travel,Eco,122,1,4,1,2,3,1,3,3,5,1,2,1,5,3,0,0.0
10403,Male,Loyal Customer,43,Business travel,Business,3146,0,0,0,1,2,5,4,5,5,5,5,3,5,4,0,0.0
3884,Female,disloyal Customer,40,Business travel,Business,213,3,3,3,2,3,3,4,3,3,2,5,5,5,3,53,70.0
82027,Male,Loyal Customer,40,Personal Travel,Eco,1576,3,4,3,4,2,3,2,2,4,3,4,5,4,2,0,0.0
47578,Female,Loyal Customer,41,Business travel,Business,1211,1,1,1,1,4,4,5,5,5,5,5,5,5,3,0,0.0
8790,Female,disloyal Customer,35,Business travel,Eco,522,3,2,3,4,3,3,3,3,1,1,3,1,3,3,80,88.0
